"","X","draw","alpha","beta","gamma","tau","cause_code","age_code"
"132",19132,132,30.10787962,0.004633426,0.29012899,5.349143379,"cvd_stroke",45
"133",19133,133,42.80677457,0.001353396,0.382316261,5.55281159,"cvd_stroke",45
"134",19134,134,6.487784147,0.017635941,0.362299272,3.588477841,"cvd_stroke",45
"135",19135,135,3.116614973,0.017154823,0.508500934,5.267546561,"cvd_stroke",45
"136",19136,136,3.103741781,0.015702761,0.499621837,2.695241321,"cvd_stroke",45
"137",19137,137,2.536898117,0.042997833,0.380697223,2.580635429,"cvd_stroke",45
"138",19138,138,4.075976428,0.00258926,0.591344951,5.118229517,"cvd_stroke",45
"139",19139,139,4.64691372,0.030531829,0.3089709,5.272532038,"cvd_stroke",45
"140",19140,140,2.951080396,0.034101411,0.377873295,2.457694871,"cvd_stroke",45
"141",19141,141,3.005080567,0.019438301,0.46009619,5.745349251,"cvd_stroke",45
"142",19142,142,2.317311254,0.018688672,0.550290553,4.473406707,"cvd_stroke",45
"143",19143,143,2.306132002,0.007299236,0.724075421,5.280209733,"cvd_stroke",45
"144",19144,144,24.02197792,0.006464249,0.247874975,4.168993362,"cvd_stroke",45
"145",19145,145,12.63518401,0.013007767,0.259573461,5.470626126,"cvd_stroke",45
"146",19146,146,135.1659211,0.000998265,0.297886551,4.632195304,"cvd_stroke",45
"147",19147,147,3.608376124,0.023599945,0.410000281,5.425780558,"cvd_stroke",45
"148",19148,148,2.234963874,0.010601402,0.68324933,4.337629242,"cvd_stroke",45
"149",19149,149,2.540968854,0.007986915,0.599640124,4.665277419,"cvd_stroke",45
"150",19150,150,11.58260504,0.005584659,0.381193257,5.089930324,"cvd_stroke",45
"151",19151,151,2.609432225,0.021551928,0.515011545,4.157254102,"cvd_stroke",45
"152",19152,152,3.480686126,0.006726015,0.567717351,2.481784318,"cvd_stroke",45
"153",19153,153,128.5210476,0.001517336,0.277102981,5.485899397,"cvd_stroke",45
"154",19154,154,33.02132334,0.001887293,0.38197492,4.160961761,"cvd_stroke",45
"155",19155,155,2.322916977,0.01811451,0.569440047,2.610719761,"cvd_stroke",45
"156",19156,156,1.839553981,0.006094621,0.798244333,2.728329184,"cvd_stroke",45
"157",19157,157,3.314090564,0.03222257,0.39779267,3.902301617,"cvd_stroke",45
"158",19158,158,1.920498728,0.023487544,0.497066112,2.898415326,"cvd_stroke",45
"159",19159,159,2.613601249,0.013754388,0.547736636,4.011912011,"cvd_stroke",45
"160",19160,160,19.06299455,0.001530888,0.455318345,5.474446962,"cvd_stroke",45
"161",19161,161,7.90283597,0.011816127,0.360573276,2.461704181,"cvd_stroke",45
"162",19162,162,2.611907377,0.00862232,0.639050582,5.596588981,"cvd_stroke",45
"163",19163,163,3.053006289,0.000908237,0.864388312,5.063272932,"cvd_stroke",45
"164",19164,164,2.702593209,0.008752716,0.703788936,4.499699539,"cvd_stroke",45
"165",19165,165,4.514800597,0.023587444,0.3497873,3.219644526,"cvd_stroke",45
"166",19166,166,15.70116477,0.006078674,0.322678834,2.837797632,"cvd_stroke",45
"167",19167,167,2.163990657,0.084047801,0.37823928,3.061153986,"cvd_stroke",45
"168",19168,168,14.39213783,0.004202419,0.362707053,4.885011145,"cvd_stroke",45
"169",19169,169,3.550224621,0.049346935,0.30156517,5.868696844,"cvd_stroke",45
"170",19170,170,1.550665614,0.064213317,0.304980342,5.7302215,"cvd_stroke",45
"171",19171,171,3.986725417,0.01332379,0.376595421,3.911953016,"cvd_stroke",45
"172",19172,172,20.43427263,0.002434338,0.404024622,4.411637568,"cvd_stroke",45
"173",19173,173,16.57694031,0.008462488,0.313068854,5.074624589,"cvd_stroke",45
"174",19174,174,15.40476046,0.00892251,0.293571901,5.184461914,"cvd_stroke",45
"175",19175,175,21.48147213,0.006272596,0.295329143,3.240484574,"cvd_stroke",45
"176",19176,176,2.301129803,0.007160434,0.6793605,3.915223075,"cvd_stroke",45
"177",19177,177,15.36726109,0.008271741,0.329774414,3.761946859,"cvd_stroke",45
"178",19178,178,2.016035314,0.002444993,0.812966558,5.732183783,"cvd_stroke",45
"179",19179,179,11.90555364,0.00651653,0.372595628,3.578928403,"cvd_stroke",45
"180",19180,180,26.22942128,0.002171193,0.347687323,3.500034634,"cvd_stroke",45
"181",19181,181,2.832156353,0.014149298,0.575734858,5.576327794,"cvd_stroke",45
"182",19182,182,2.755410249,0.014358795,0.554962384,4.912296393,"cvd_stroke",45
"183",19183,183,4.872520689,0.01146389,0.445455616,4.807649984,"cvd_stroke",45
"184",19184,184,16.28135463,0.004957034,0.358857153,5.273687715,"cvd_stroke",45
"185",19185,185,4.018027641,0.007649134,0.518081494,3.091283083,"cvd_stroke",45
"186",19186,186,40.64677846,0.006382879,0.22605727,5.242037121,"cvd_stroke",45
"187",19187,187,2.195172815,0.014746581,0.741203641,4.71107931,"cvd_stroke",45
"188",19188,188,55.80880205,0.001146886,0.385383267,2.810387953,"cvd_stroke",45
"189",19189,189,4.02463201,0.024436823,0.361293803,3.435047828,"cvd_stroke",45
"190",19190,190,3.801828947,0.016348818,0.430268823,5.066054771,"cvd_stroke",45
"191",19191,191,2.921291044,0.021586154,0.46814846,3.481406393,"cvd_stroke",45
"192",19192,192,2.094621966,0.033735279,0.623821023,3.013156977,"cvd_stroke",45
"193",19193,193,2.736615953,0.001898466,0.897960798,5.681015822,"cvd_stroke",45
"194",19194,194,8.033425644,0.020498573,0.304356977,3.686929904,"cvd_stroke",45
"195",19195,195,2.660148231,0.013548002,0.562259333,5.837412785,"cvd_stroke",45
"196",19196,196,4.86317279,0.024760451,0.304045692,2.927601317,"cvd_stroke",45
"197",19197,197,10.75193954,0.008742889,0.342830391,2.73639328,"cvd_stroke",45
"198",19198,198,51.53469128,0.001201692,0.358868102,5.080495468,"cvd_stroke",45
"199",19199,199,7.965281692,0.007961747,0.379151182,3.803554249,"cvd_stroke",45
"200",19200,200,2.033388064,0.013286526,0.680208758,4.948235648,"cvd_stroke",45
"201",19201,201,3.837943115,0.019936668,0.416277608,4.062646367,"cvd_stroke",45
"202",19202,202,2.793760968,0.023588363,0.433275747,2.704230731,"cvd_stroke",45
"203",19203,203,2.366807026,0.000554701,1.252185288,5.130978066,"cvd_stroke",45
"204",19204,204,1.817375036,0.023775065,0.57821007,4.455655018,"cvd_stroke",45
"205",19205,205,2.520816097,0.02052154,0.512887363,3.244932157,"cvd_stroke",45
"206",19206,206,24.66569537,0.002851006,0.360970479,5.60690231,"cvd_stroke",45
"207",19207,207,2.346580884,0.016627448,0.585326159,5.730843401,"cvd_stroke",45
"208",19208,208,10.67664841,0.030944968,0.194129849,4.800089737,"cvd_stroke",45
"209",19209,209,2.887126427,0.010840593,0.539145757,4.28410376,"cvd_stroke",45
"210",19210,210,100.8854077,0.001770058,0.255027862,4.815668827,"cvd_stroke",45
"211",19211,211,4.103594931,0.059733325,0.26656612,4.569574229,"cvd_stroke",45
"212",19212,212,32.9519345,0.002669248,0.353331829,3.193352475,"cvd_stroke",45
"213",19213,213,2.657619507,0.013238801,0.60431306,5.582104504,"cvd_stroke",45
"214",19214,214,2.522500989,0.045460522,0.376071223,2.531679724,"cvd_stroke",45
"215",19215,215,1.983118862,0.031980678,0.480146173,3.72135888,"cvd_stroke",45
"216",19216,216,2.536719618,0.027697945,0.497574459,4.124208778,"cvd_stroke",45
"217",19217,217,2.038253165,0.017083952,0.78939307,5.373817796,"cvd_stroke",45
"218",19218,218,22.42220685,0.001745573,0.435872015,4.532106582,"cvd_stroke",45
"219",19219,219,3.209139911,0.032735981,0.403162151,2.67328018,"cvd_stroke",45
"220",19220,220,2.441013818,0.025480313,0.431623912,4.228415679,"cvd_stroke",45
"221",19221,221,2.409023849,0.022374732,0.472284725,3.515600039,"cvd_stroke",45
"222",19222,222,2.256836608,0.011763518,0.650761871,2.947038622,"cvd_stroke",45
"223",19223,223,2.5571676,0.027198106,0.41461844,3.5071609,"cvd_stroke",45
"224",19224,224,2.328669191,0.017386146,0.548592562,5.31584467,"cvd_stroke",45
"225",19225,225,22.8709158,0.00581677,0.308757312,3.037555212,"cvd_stroke",45
"226",19226,226,2.231928336,0.011421339,0.622924093,5.358889668,"cvd_stroke",45
"227",19227,227,2.771645187,0.006039511,0.602171251,3.485581725,"cvd_stroke",45
"228",19228,228,2.733536482,0.009097252,0.574696693,4.702076176,"cvd_stroke",45
"229",19229,229,8.57375313,0.016434179,0.310389285,4.347921583,"cvd_stroke",45
"230",19230,230,2.197045994,0.009306713,0.692930665,4.247994407,"cvd_stroke",45
"231",19231,231,2.466416767,0.01029967,0.562763811,4.772572994,"cvd_stroke",45
"232",19232,232,3.404862319,0.00802874,0.527548682,3.131057356,"cvd_stroke",45
"233",19233,233,17.38748625,0.005084844,0.343756211,2.955256095,"cvd_stroke",45
"234",19234,234,3.4818446,0.021777625,0.45185715,2.966490563,"cvd_stroke",45
"235",19235,235,3.344976438,0.040585912,0.348934703,3.58873801,"cvd_stroke",45
"236",19236,236,2.469374957,0.037444785,0.440836416,5.277642326,"cvd_stroke",45
"237",19237,237,2.155959211,0.03679772,0.517032323,4.718928335,"cvd_stroke",45
"238",19238,238,1.857417431,0.028721231,0.592982789,3.617570956,"cvd_stroke",45
"239",19239,239,2.4075711,0.020052888,0.551979081,3.830086446,"cvd_stroke",45
"240",19240,240,2.82607931,0.030949348,0.42651042,3.904763764,"cvd_stroke",45
"241",19241,241,56.28841767,0.001088489,0.377877892,5.649671879,"cvd_stroke",45
"242",19242,242,2.636011741,0.008447623,0.858026628,3.026647485,"cvd_stroke",45
